,Time_s,Speaker,Probability,Country,Gender
2,104,Stefanie Powers,0.026627447,USA,f
0,105,Donna Mills,0.34472138,USA,f
1,105,Fiona Shaw,0.094356105,Ireland,f
2,105,Judith Light,0.08324999,USA,f
0,106,Phyllis Diller,0.25932053,USA,f
1,106,Donna Mills,0.107751235,USA,f
2,106,Fiona Shaw,0.08801389,Ireland,f
0,107,Phyllis Diller,0.3581584,USA,f
1,107,Roger Ebert,0.19275004,USA,m
2,107,Betty White,0.09940276,USA,f
0,108,Roger Ebert,0.18564959,USA,m
1,108,Betty White,0.17636944,USA,f
2,108,Marion Ross,0.16350085,USA,f
